concept_id,english_binding,retrieval_eligible,identification_eligible,pairing_eligible,gold_chunk_rank,candidate_pool_size,candidate_summaries,exact_candidate_rank,pair_summaries,correct_pair_rank,semantic_score,final_score,score_margin,primary_attribution
cx-7f16,missing,False,False,False,,0,,,,,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING
cx-7f17,matched,True,False,False,,7,加速度|惯性|质量|冲量|动量|向心加速度|角速度,,加速度:0.878344|惯性:0.877633|质量:0.876269|动量:0.842367|冲量:0.841240|角速度:0.839588|向心加速度:0.838902,,,,,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS
cx-7f18,matched,True,True,True,1,7,向心加速度|角速度|加速度|惯性|质量|力矩|转动惯量,2,角速度:0.891422|向心加速度:0.888325|加速度:0.856308|惯性:0.855810|质量:0.851445|力矩:0.846086|转动惯量:0.846059,1,0.88731964,0.89142169,0.003097,EVIDENCE_QUALIFICATION_MISSING
cx-7f19,matched,True,False,False,,7,加速度|惯性|质量|动量守恒定律|向心力|力矩|转动惯量,,惯性:0.873871|加速度:0.871272|质量:0.870568|动量守恒定律:0.837803|向心力:0.837568|转动惯量:0.834609|力矩:0.833001,,,,,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS
cx-7f20,matched,True,True,True,1,6,力矩|转动惯量|功|功率|冲量|动量,1,转动惯量:0.876025|力矩:0.875462|功:0.844024|功率:0.842607|动量:0.826895|冲量:0.826047,2,0.86854377,0.8754622,-0.000563,BILINGUAL_SEMANTIC_PAIRING_MISS
cx-7f21,matched,True,True,False,1,6,电势|电势差|电势能|力|压强|电容,,电势:0.873973|电势能:0.873462|电势差:0.873180|力:0.846225|压强:0.844262|电容:0.826825,,,,,UPSTREAM_CHINESE_TERM_IDENTIFICATION_MISSING
cx-7f22,matched,True,False,False,,7,功|功率|力|压强|电势|电势差|电势能,,功率:0.869593|功:0.867240|力:0.841435|压强:0.840045|电势:0.829770|电势能:0.829218|电势差:0.828920,,,,,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS
cx-7f23,matched,True,True,True,1,6,电势|电势差|电势能|力|压强|电容,1,电势:0.877343|电势能:0.876747|电势差:0.876635|力:0.847010|压强:0.844960|电容:0.828401,1,0.87075684,0.87734331,0.000596,EVIDENCE_QUALIFICATION_MISSING
cx-7f24,matched,True,True,True,1,6,电势|电势差|电势能|电容|功|功率,2,电势能:0.871733|电势差:0.871257|电势:0.870820|电容:0.839694|功率:0.827079|功:0.825839,2,0.86359645,0.87125698,-0.000476,BILINGUAL_SEMANTIC_PAIRING_MISS
cx-7f25,matched,True,True,True,1,6,电容|电势|电势差|电势能|功|功率,1,电容:0.870045|电势能:0.841083|电势:0.840968|电势差:0.840816|功率:0.826105|功:0.825602,1,0.86217012,0.8700446,0.028962,EVIDENCE_QUALIFICATION_MISSING
