concept_id,english_binding,retrieval_eligible,identification_eligible,pairing_eligible,gold_chunk_rank,candidate_pool_size,candidate_summaries,exact_candidate_rank,pair_summaries,correct_pair_rank,semantic_score,cross_encoder_score,final_score,score_margin,primary_attribution,baseline_error_category
cx-7f13,matched,True,True,True,2,7,力|压强|机械能|机械能守恒定律|动能|弹性势能|重力势能,3,机械能:3.997426|动能:1.984332|机械能守恒定律:1.908416|力:1.349675|弹性势能:0.188072|重力势能:0.161548|压强:-0.500304,1,0.8518318,3.93983483,3.99742642,2.013095,EVIDENCE_QUALIFICATION_MISSING,AUXILIARY_PRIOR_DOMINANCE
cx-7f14,matched,True,True,True,1,8,动量守恒定律|向心力|加速度|惯性|质量|动能|弹性势能|重力势能,1,动量守恒定律:1.407600|向心力:1.028686|弹性势能:-0.137692|惯性:-0.212648|动能:-0.328510|加速度:-0.477633|重力势能:-0.639616|质量:-0.854995,1,0.84164356,1.34761775,1.40759993,0.378914,EVIDENCE_QUALIFICATION_MISSING,
cx-7f15,matched,True,True,True,2,7,动能|弹性势能|重力势能|机械能|机械能守恒定律|力|压强,5,机械能:3.740506|机械能守恒定律:1.592965|动能:0.026212|力:-0.611185|重力势能:-2.019040|弹性势能:-2.231409|压强:-2.471811,2,0.84220013,1.53585505,1.59296506,-2.147541,BILINGUAL_SEMANTIC_PAIRING_MISS,AUXILIARY_PRIOR_DOMINANCE
cx-7f16,missing,False,False,False,,0,,,,,,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING,
cx-7f17,matched,True,False,False,,7,加速度|惯性|质量|冲量|动量|向心加速度|角速度,,角速度:2.342977|冲量:1.875141|动量:1.863559|向心加速度:1.749873|加速度:1.540778|惯性:1.316836|质量:0.648530,,,,,,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS,
cx-7f18,matched,True,True,True,1,7,向心加速度|角速度|加速度|惯性|质量|力矩|转动惯量,2,角速度:4.909788|向心加速度:3.896765|惯性:3.521344|力矩:3.469728|加速度:3.322512|转动惯量:2.242304|质量:1.716357,1,0.88731964,4.84752178,4.90978776,1.013022,EVIDENCE_QUALIFICATION_MISSING,
cx-7f19,matched,True,False,False,,7,加速度|惯性|质量|动量守恒定律|向心力|力矩|转动惯量,,力矩:3.502972|转动惯量:3.148089|向心力:2.932753|动量守恒定律:2.337474|加速度:2.139962|质量:2.048209|惯性:1.941861,,,,,,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS,
cx-7f20,matched,True,True,True,1,6,力矩|转动惯量|功|功率|冲量|动量,1,力矩:3.963780|功:3.261489|冲量:3.239710|动量:2.903365|转动惯量:2.848747|功率:2.508831,1,0.86854377,3.90245247,3.96377966,0.70229,EVIDENCE_QUALIFICATION_MISSING,TERM_SCOPE_CONFUSION
cx-7f21,matched,True,True,False,1,6,电势|电势差|电势能|力|压强|电容,,电势:3.450251|电势能:2.656016|电容:2.524922|力:2.230101|电势差:2.198308|压强:1.640562,,,,,,UPSTREAM_CHINESE_TERM_IDENTIFICATION_MISSING,
cx-7f22,matched,True,False,False,,7,功|功率|力|压强|电势|电势差|电势能,,力:3.038870|电势:3.003404|功率:2.840613|电势能:2.572380|功:2.545668|压强:1.718311|电势差:1.429093,,,,,,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS,
cx-7f23,matched,True,True,True,1,6,电势|电势差|电势能|力|压强|电容,1,电势:2.368821|电势能:2.227902|电容:1.072538|力:0.907885|电势差:0.807843|压强:-0.015449,1,0.87075684,2.30738354,2.36882138,0.140919,EVIDENCE_QUALIFICATION_MISSING,
cx-7f24,matched,True,True,True,1,6,电势|电势差|电势能|电容|功|功率,2,电势差:0.103123|功:0.042745|功率:-0.530351|电势:-0.737012|电势能:-0.853131|电容:-1.163482,1,0.86359645,0.04204355,0.10312337,0.060378,EVIDENCE_QUALIFICATION_MISSING,TERM_SCOPE_CONFUSION
cx-7f25,matched,True,True,True,1,6,电容|电势|电势差|电势能|功|功率,1,功:3.339337|功率:2.388854|电容:2.125169|电势:1.734236|电势能:1.542443|电势差:1.145139,3,0.86217012,2.06416035,2.12516886,-1.214168,BILINGUAL_SEMANTIC_PAIRING_MISS,
