concept_id,english_binding,retrieval_eligible,identification_eligible,pairing_eligible,gold_chunk_rank,candidate_pool_size,candidate_summaries,exact_candidate_rank,pair_summaries,correct_pair_rank,semantic_score,cross_encoder_score,final_score,score_margin,selected_pair_text,selected_pair_uid,selected_pair_semantic_score,selected_pair_cross_encoder_score,selected_pair_final_score,selected_pair_margin,selected_pair_source_uid,selected_pair_chunk_uid,selected_pair_retrieval_rank,selected_pair_retrieval_score,selected_pair_extraction_rank,selected_pair_extraction_score,selected_pair_backend_id,selected_pair_model_id,selected_pair_model_revision,selected_pair_reranker_backend_id,selected_pair_reranker_model_id,selected_pair_reranker_model_revision,selected_pair_english_hash,selected_pair_chinese_hash,primary_attribution,baseline_error_category,english_source_uid,english_chunk_uid,evidence_qualification_eligible,qualification_decision,qualification_score,qualification_reason_codes,qualification_result_id,false_qualification
cx-7f11,matched,True,True,True,1,6,功|功率|力|压强|力矩|转动惯量,1,功:1.779133|功率:1.149370|力:0.168000|力矩:0.052542|压强:-0.880789|转动惯量:-1.635264,1,0.86533496,1.71796596,1.77913271,0.629762,功,d860088c0388afba3e059354,0.86533496,1.71796596,1.77913271,0.629762,zh-s14,zh-s14-p01,1,0.82159727,1,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,55c6589e044e261fd648fa6aaed22fc4bfd3f327d4e8b2f3778737d0420544ff,5843084a0540402ed33e29d142b904d2e177d6d215fec74564c0418dfb1c8ef1,PROVIDER_READINESS_NOT_EVALUATED,TERM_SCOPE_CONFUSION,en-s03,en-s03-p01,True,QUALIFIED,0.95808374,,evidence-qualification:ca03d14038dfed7b1c5c714f86b32e89bd01fab8e4d70fe21cac0b6fe81085d6,False
cx-7f12,matched,True,True,True,1,6,功|功率|力|压强|力矩|转动惯量,2,功率:4.606630|力:2.660297|功:2.538395|压强:1.149760|力矩:0.639674|转动惯量:-1.622979,1,0.87006275,4.54522657,4.60662971,1.946333,功率,6829e14418ccdaad1db27e2a,0.87006275,4.54522657,4.60662971,1.946333,zh-s14,zh-s14-p01,1,0.8233046,2,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,6ba8201ffbd2cda82961ccbaf9b313b53479d9c232590966ffac51ca584bb5c7,5f7d88d5ba38b53536314eeb3f2e015515e64ec4f6f49fde919429dcae0de4a6,PROVIDER_READINESS_NOT_EVALUATED,,en-s03,en-s03-p01,True,QUALIFIED,0.95926569,,evidence-qualification:53b179eeb33a486d5acf8f60150e82efb003864d1508dd6e8c8c9f187e92bf11,False
cx-7f13,matched,True,True,True,2,7,力|压强|机械能|机械能守恒定律|动能|弹性势能|重力势能,3,机械能:3.997426|动能:1.984332|机械能守恒定律:1.908416|力:1.349675|弹性势能:0.188072|重力势能:0.161548|压强:-0.500304,1,0.8518318,3.93983483,3.99742642,2.013095,机械能,dd400902de40153ed360e579,0.8518318,3.93983483,3.99742642,2.013095,zh-s14,zh-s14-p03,2,0.79315107,3,0.85,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,65d96d5176e56deeff6d8974634c52b8c63e80bd5abc07222f722dfb2167e295,2b9f17905343d089ab2521222c7d98a3af91ec2d640a76486c9887535cf1dbbc,PROVIDER_READINESS_NOT_EVALUATED,AUXILIARY_PRIOR_DOMINANCE,en-s03,en-s03-p03,True,QUALIFIED,0.91420795,,evidence-qualification:f4d8e993c03685199ae89d0168af1dff164dc7d9a47338482e17ad97945c686a,False
cx-7f14,matched,True,True,True,1,8,动量守恒定律|向心力|加速度|惯性|质量|动能|弹性势能|重力势能,1,动量守恒定律:1.407600|向心力:1.028686|弹性势能:-0.137692|惯性:-0.212648|动能:-0.328510|加速度:-0.477633|重力势能:-0.639616|质量:-0.854995,1,0.84164356,1.34761775,1.40759993,0.378914,动量守恒定律,e72c13c60962729310bee071,0.84164356,1.34761775,1.40759993,0.378914,zh-s11,zh-s11-p04,1,0.79919596,1,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,439b60f64bd68fc0b96724f9de5defb95268c34b27e379c07b28903f9416e69e,937adc98dfd7ca42459a80f8714cd13ac577a2b771d032ecedfbfb7f81bd6b8c,PROVIDER_READINESS_NOT_EVALUATED,,en-s01,en-s01-p03,True,QUALIFIED,0.95216089,,evidence-qualification:fe753cf1292a9a98732aee60c7d8a7622af89df38638e7da50ddc10106c635ac,False
cx-7f15,matched,True,True,True,2,7,动能|弹性势能|重力势能|机械能|机械能守恒定律|力|压强,5,机械能:3.740506|机械能守恒定律:1.592965|动能:0.026212|力:-0.611185|重力势能:-2.019040|弹性势能:-2.231409|压强:-2.471811,2,0.84220013,1.53585505,1.59296506,-2.147541,机械能,9ea135651560a565c0ceb43b,0.84614064,3.68319941,3.74050644,2.147541,zh-s14,zh-s14-p03,2,0.7924324,4,0.85,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,ac88e130a8a702aa3e497a85079c03c37d76b534445f293f2dfdb8fbf18c5b7b,2b9f17905343d089ab2521222c7d98a3af91ec2d640a76486c9887535cf1dbbc,UPSTREAM_BILINGUAL_SEMANTIC_PAIRING_MISS,AUXILIARY_PRIOR_DOMINANCE,en-s03,en-s03-p03,False,QUALIFIED,0.91278516,,evidence-qualification:a2f4a58671b2eb08725dd199a9bc16b853285988b4cb0a5831001571a3c49103,True
cx-7f16,missing,False,False,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPSTREAM_ENGLISH_EXTRACTION_MISSING,,,,False,,,,,False
cx-7f17,matched,True,False,False,,7,加速度|惯性|质量|冲量|动量|向心加速度|角速度,,角速度:2.342977|冲量:1.875141|动量:1.863559|向心加速度:1.749873|加速度:1.540778|惯性:1.316836|质量:0.648530,,,,,,角速度,c492e73bb18ac5b8a2cd8f6f,0.87057123,2.2854147,2.34297693,0.467836,zh-s11,zh-s11-p03,3,0.8074435,7,0.8367,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,392364373e6c999cea0b425d82eb866b00c745efaffb7902c987b9915b35c51e,100f50fcec30c1fcf7e514fb0096a35f720abd0b415dba35c3d3d2250f8c95f0,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS,,en-s01,en-s01-p04,False,QUALIFIED,0.90539531,,evidence-qualification:45cc83e864ff20fb36f6f116a3fe4c1b9d6eec986ffd202c72807c02558aa74c,True
cx-7f18,matched,True,True,True,1,7,向心加速度|角速度|加速度|惯性|质量|力矩|转动惯量,2,角速度:4.909788|向心加速度:3.896765|惯性:3.521344|力矩:3.469728|加速度:3.322512|转动惯量:2.242304|质量:1.716357,1,0.88731964,4.84752178,4.90978776,1.013022,角速度,5159b6fb4916d5f06dc26f2d,0.88731964,4.84752178,4.90978776,1.013022,zh-s11,zh-s11-p03,1,0.83464584,2,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,f3728f583870a66d584d98173c89bacf97308c7ffdf061fb2db5f6556b17417e,100f50fcec30c1fcf7e514fb0096a35f720abd0b415dba35c3d3d2250f8c95f0,PROVIDER_READINESS_NOT_EVALUATED,,en-s01,en-s01-p01,True,QUALIFIED,0.96357991,,evidence-qualification:cf4050a8960959235b72ab62f65dd849d7ec2d15f3164c0155de88088d4099da,False
cx-7f19,matched,True,False,False,,7,加速度|惯性|质量|动量守恒定律|向心力|力矩|转动惯量,,力矩:3.502972|转动惯量:3.148089|向心力:2.932753|动量守恒定律:2.337474|加速度:2.139962|质量:2.048209|惯性:1.941861,,,,,,力矩,75071698a3faf38fb3c647f0,0.86282156,3.44579768,3.50297242,0.354884,zh-s11,zh-s11-p01,3,0.80257194,6,0.8367,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,7d394c8259a0d4a1d5595246c004b44741a995111ace9fc09b54969c06bdc5dd,c4e26ebf724b52fe800cba2c712d0b0c767ebc499879f32151632b70ec809ab8,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS,,en-s01,en-s01-p03,False,QUALIFIED,0.90345789,,evidence-qualification:9485951dee0455b9dc58d34082ab279eb43ba81bfca0e92da172662995bb92cb,True
cx-7f20,matched,True,True,True,1,6,力矩|转动惯量|功|功率|冲量|动量,1,力矩:3.963780|功:3.261489|冲量:3.239710|动量:2.903365|转动惯量:2.848747|功率:2.508831,1,0.86854377,3.90245247,3.96377966,0.70229,力矩,7877d6bc7d1bf278851f2468,0.86854377,3.90245247,3.96377966,0.70229,zh-s11,zh-s11-p01,1,0.81411548,1,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,dab1526c4b93afceb18f5bca94404786faff608f03b6fe2bb365724c64e855f6,c4e26ebf724b52fe800cba2c712d0b0c767ebc499879f32151632b70ec809ab8,PROVIDER_READINESS_NOT_EVALUATED,TERM_SCOPE_CONFUSION,en-s01,en-s01-p02,True,QUALIFIED,0.95888594,,evidence-qualification:e9014ae105629f11dd4840c760e95de04c3d88b753a052c0c73afb77c4d52292,False
cx-7f21,matched,True,True,False,1,6,电势|电势差|电势能|力|压强|电容,,电势:3.450251|电势能:2.656016|电容:2.524922|力:2.230101|电势差:2.198308|压强:1.640562,,,,,,电势,38e3753d41e98b3e2484ed98,0.86679222,3.38901186,3.45025147,0.794235,zh-s13,zh-s13-p01,1,0.80756544,1,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,d6d581024f97a739b2e5ca153d390a01f439d73ec67b47ffaec68867eb211743,db480f96baa21ef91ee47ebadf79777486aa69cea46efd90a156b2af229dd41d,UPSTREAM_CHINESE_TERM_IDENTIFICATION_MISSING,,en-s02,en-s02-p03,False,QUALIFIED,0.95844805,,evidence-qualification:ed56706a3318e9ef2c973f684a2624a35431241eb0c146f876827c8ec806e772,True
cx-7f22,matched,True,False,False,,7,功|功率|力|压强|电势|电势差|电势能,,力:3.038870|电势:3.003404|功率:2.840613|电势能:2.572380|功:2.545668|压强:1.718311|电势差:1.429093,,,,,,力,c38b1a87a3df2c1020b183cd,0.86168812,2.98078561,3.03887002,0.035466,zh-s14,zh-s14-p04,2,0.7929539,3,0.85,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,834627dcad3348b5b8083821ca198476cd03a09924623e993c9b709c9678865e,05d1f7ead193266d5459824b2cf10a440195a2f75a6fd32f9d935bac84ec40d8,UPSTREAM_CROSS_LANGUAGE_RETRIEVAL_MISS,,en-s02,en-s02-p02,False,REVIEW_REQUIRED,0.83440503,EVIDENCE_PAIR_MARGIN_INSUFFICIENT,evidence-qualification:3e64e241799702abe0ff970b95b502f4dfd9de89e23733314ed143c01a3d19f3,False
cx-7f23,matched,True,True,True,1,6,电势|电势差|电势能|力|压强|电容,1,电势:2.368821|电势能:2.227902|电容:1.072538|力:0.907885|电势差:0.807843|压强:-0.015449,1,0.87075684,2.30738354,2.36882138,0.140919,电势,c2ca09c86ee062dc6871558b,0.87075684,2.30738354,2.36882138,0.140919,zh-s13,zh-s13-p01,1,0.81139847,1,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,60ccff9d220b203aeaee0492ea697829f6e6c31a46d2d5d01fb49d6b6e36e905,db480f96baa21ef91ee47ebadf79777486aa69cea46efd90a156b2af229dd41d,PROVIDER_READINESS_NOT_EVALUATED,,en-s02,en-s02-p03,True,QUALIFIED,0.92989871,,evidence-qualification:4d9f4228fa0c0d85137645a8c6bb304bac6ad9dbe2946be070806d0b2f3574d1,False
cx-7f24,matched,True,True,True,1,6,电势|电势差|电势能|电容|功|功率,2,电势差:0.103123|功:0.042745|功率:-0.530351|电势:-0.737012|电势能:-0.853131|电容:-1.163482,1,0.86359645,0.04204355,0.10312337,0.060378,电势差,d57b6fd62b0ef443dd6dd649,0.86359645,0.04204355,0.10312337,0.060378,zh-s13,zh-s13-p01,1,0.81000191,2,0.89,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,41a82aa93b785c59a4f3e19758b5b1e01084969aa4492afc9f70f90a995612a3,18dbd077b316b14a87bf547c8c77ae1c5ed1b9fd057bd7a67573e0c1492b65a5,PROVIDER_READINESS_NOT_EVALUATED,TERM_SCOPE_CONFUSION,en-s02,en-s02-p01,True,QUALIFIED,0.88783811,,evidence-qualification:f7bfce27f317919432422ea4705db7571d46c77482d901b335453d3f0d8e6106,False
cx-7f25,matched,True,True,True,1,6,电容|电势|电势差|电势能|功|功率,1,功:3.339337|功率:2.388854|电容:2.125169|电势:1.734236|电势能:1.542443|电势差:1.145139,3,0.86217012,2.06416035,2.12516886,-1.214168,功,466e6eab4d0db2aa9b9abca2,0.85411743,3.28259754,3.33933708,0.950483,zh-s14,zh-s14-p01,3,0.80336853,5,0.8367,local_multilingual_e5_pytorch_cpu_v1,intfloat/multilingual-e5-small,614241f622f53c4eeff9890bdc4f31cfecc418b3,local_bge_reranker_v2_m3_cpu_v1,BAAI/bge-reranker-v2-m3,79c481748842b7efa0a12db59915db91731f0b93,725620f7532dbef8d5dd3547a96e616091a12b588b68814d6c350c0802c5f058,f5c71d862e18a42577cb2e30da6a45051c27304b5a0bd2b16151cc521bdceddc,UPSTREAM_BILINGUAL_SEMANTIC_PAIRING_MISS,,en-s02,en-s02-p01,False,QUALIFIED,0.90128186,,evidence-qualification:dc7ad57bd07f985d9305c88620cae1b7e868d5517e442f943b26b9c48fe32ba2,True
